Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
NC_004681	Mycobacterium phage Cjw1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3763
NC_004683	Mycobacterium phage Che9c	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_004683
NC_004684	Mycobacterium phage Rosebush	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	1076630.3
NC_004685	Mycobacterium phage Corndog	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	KJ829260
NC_004686	Mycobacterium phage Che9d	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_004686
NC_004689	Mycobacterium phage Barnyard	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_004689
NC_004745	Yersinia phage L-413C	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Yersinia	Yersinia pestis	yes	no	NC_004745
NC_004775	Salmonella phage epsilon15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Salmonella	Salmonella enterica	yes	no	NC_004775
NC_004777	Yersinia phage phiA1122	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Yersinia	Yersinia pestis	yes	no	JQ957925
NC_004814	Streptococcus phage C1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Ahjdlikevirus.	Streptococcus	Streptococcus	yes	no	NC_004814
NC_004831	Enterobacteria phage SP6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Salmonella	Salmonella enterica	yes	no	NC_004831
NC_004913	Escherichia Stx1 converting phage	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	KJ909655
NC_004928	Enterobacteria phage RB69	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	NC_004928
NC_005069	Yersinia phage PY54	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Yersinia	Yersinia enterocolitica	yes	no	NC_005069
NC_005131	Ralstonia phage p12J	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	Ralstonia	Ralstonia pickettii	yes	no	NC_005131
NC_005135	Aeromonas phage 44RR2.8t	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas salmonicida	yes	no	NC_005135
NC_005178	Pseudomonas phage D3112	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JN811560
NC_005258	Bacillus phage Bam35c	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	Bacillus	Bacillus thuringiensis	yes	no	AJ536073
NC_005259	Mycobacterium phage PG1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3724
NC_005260	Aeromonas phage Aeh1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas hydrophila	yes	no	NC_005260
NC_005282	Salmonella phage FelixO1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Salmonella	Salmonella	yes	no	JF461087
NC_005342	Burkholderia phage Bcep43	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_004333
NC_005344	Shigella phage Sf6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Shigella	Shigella flexneri	yes	no	NC_005344
NC_005345	Streptomyces phage VWB	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Streptomyces	Streptomyces venezuelae	yes	no	NC_005345
NC_005357	Bordetella phage BPP-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Bordetella	Bordetella bronchiseptica	yes	no	NC_005357
NC_005809	Bordetella phage BIP-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;unclassified Bpp-1-like viruses.	Bordetella	Bordetella bronchiseptica	yes	no	NC_005357
NC_005841	Enterobacteria phage ST104	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	Salmonella	Salmonella enterica	yes	no	NC_005841
NC_005856	Enterobacteria phage P1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Punalikevirus.	Escherichia	Escherichia coli	yes	no	NC_005856
NC_005859	Enterobacteria phage T5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;T5likevirus.	Escherichia	Escherichia coli	yes	no	NC_005859
NC_005879	Vibrio phage VP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Vibrio	Vibrio cholerae	yes	no	NC_005879
NC_005880	Staphylococcus phage K	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	AY176327
NC_005884	Pseudomonas phage PaP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_005884
NC_005886	Burkholderia phage BcepB1A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia cenocepacia	yes	no	NC_005886
NC_005887	Burkholderia phage BcepC6B	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_005887
NC_005891	Vibrio phage VP5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Vibrio	Vibrio cholerae	yes	no	NC_005879
NC_005893	Lactobacillus phage phiAT3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus casei	yes	no	NC_005893
NC_006294	Vibrio phage KSF-1phi	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Vibrio	Vibrio cholerae	yes	no	NC_006294
NC_006548	Pseudomonas phage B3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_006548
NC_006820	Synechococcus phage S-PM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Synechococcus	Synechococcus	yes	no	NC_006820
NC_006884	Prochlorococcus phage P-SSM4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Prochlorococcus	Prochlorococcus	yes	no	NC_006884
NC_006936	Lactobacillus phage phiJL-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus plantarum	yes	no	NC_006936
NC_006945	Bacillus phage GIL16c	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus;unclassified Tectivirus.	Bacillus	Bacillus thuringiensis	yes	no	NC_006945
NC_006949	Enterobacteria phage ES18	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_006949
NC_007021	Staphylococcus phage Twort	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007021
NC_007045	Staphylococcus phage PT1028	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007045
NC_007047	Staphylococcus phage 187	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus	yes	no	NC_007047
NC_007048	Staphylococcus phage 69	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007048
NC_007052	Staphylococcus phage 42E	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007052
NC_007053	Staphylococcus phage 3A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007053
NC_007056	Staphylococcus phage EW	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007056
NC_007057	Staphylococcus phage 96	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007057
NC_007059	Staphylococcus phage 71	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007059
NC_007060	Staphylococcus phage 55	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007060
NC_007061	Staphylococcus phage 29	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007061
NC_007064	Staphylococcus phage 92	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007063
NC_007065	Staphylococcus phage X2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007065
NC_007066	Staphylococcus phage G1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	AY176327
NC_007291	Enterobacteria phage JK06	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Escherichia	Escherichia coli	yes	no	NC_007291
NC_007456	Enterobacteria phage K1F	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Escherichia	Escherichia coli	yes	no	NC_007456
NC_007457	Bacillus phage Cherry	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus anthracis	yes	no	DQ222855
NC_007497	Burkholderia phage Bcep176	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_007497
NC_007501	Lactobacillus phage Lc-Nu	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus rhamnosus	yes	no	NC_007501
NC_007603	Enterobacteria phage RTP	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	Escherichia	Escherichia coli	yes	no	NC_007603
NC_007623	Pseudomonas phage EL	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Phikzlikevirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_007623
NC_007709	Xanthomonas phage OP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Xanthomonas	Xanthomonas oryzae	yes	no	NC_007709
NC_007710	Xanthomonas phage OP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Xanthomonas	Xanthomonas oryzae	yes	no	NC_007710
NC_007734	Bacillus phage WBeta	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus anthracis	yes	no	DQ222855
NC_007804	Escherichia phage phiV10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	NC_007804
NC_007805	Pseudomonas phage F10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_007805
NC_007806	Pseudomonas phage 73	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_007806
NC_007807	Pseudomonas phage 119X	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_007807
NC_007809	Pseudomonas phage M6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Yualikevirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_007809
NC_007814	Bacillus phage Fah	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus anthracis	yes	no	DQ222855
NC_007817	Enterobacteria phage ID2 Moscow/ID/2001	Viruses; ssDNA viruses; Microviridae; Microvirus; unclassifiedEnterobacteria phage G4 clade.	Escherichia	Escherichia coli	yes	no	KF044309
NC_007821	Enterobacteria phage WA13 sensu lato	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	DQ079874
NC_007856	Enterobacteria phage ID18 sensu lato	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli	yes	no	DQ079909
NC_007902	Sodalis phage phiSG1	Viruses; unclassified phages.	Sodalis	Sodalis glossinidius	yes	no	DQ785801
NC_007917	Clostridium phage phiCD119	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Clostridium	Clostridium difficile	yes	no	NC_007917
NC_007924	Lactobacillus phage KC5a	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Lactobacillus	Lactobacillus gasseri	yes	no	NC_007924
NC_008152	Enterobacteria phage K1-5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Escherichia	Escherichia coli	yes	no	NC_008152
NC_008196	Mycobacterium phage Llij	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_008196
NC_008197	Mycobacterium phage Orion	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3724
NC_008198	Mycobacterium phage PBI1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3815
NC_008199	Mycobacterium phage Pipefish	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3729
NC_008200	Mycobacterium phage PLot	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3815
NC_008202	Mycobacterium phage Halo	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	6666666.3781
NC_008206	Mycobacterium phage Wildcat	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium	yes	no	NC_008206
NC_008265	Clostridium phage phiSM101	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Clostridium	Clostridium perfringens	yes	no	NC_008265
NC_008296	Synechococcus phage syn9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Synechococcus	Synechococcus	yes	no	NC_008296
NC_008364	Lactococcus phage Q54	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_008364
NC_008376	Geobacillus phage GBSV1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Geobacillus	Geobacillus	yes	no	NC_008376
NC_008464	Stx2-converting phage 86	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_008464
NC_008575	Ralstonia phage RSS1	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Ralstonia	Ralstonia solanacearum	yes	no	NC_008575
NC_008617	Staphylococcus phage phiNM3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus	yes	no	NC_008617
NC_008689	Staphylococcus phage phiPVL108	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_008689
NC_008694	Yersinia phage Berlin	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Yersinia	Yersinia pestis	yes	no	NC_008694
NC_008717	Pseudomonas phage DMS3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_008717
NC_008720	Escherichia phage N4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus.	Escherichia	Escherichia coli	yes	no	NC_008720
NC_008721	Streptococcus phage SMP	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus suis	yes	no	NC_008721
NC_008722	Staphylococcus phage CNPH82	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus epidermidis	yes	no	NC_008722
NC_008723	Staphylococcus phage PH15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus epidermidis	yes	no	NC_008723
NC_008798	Staphylococcus phage phiETA2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_008798
NC_008799	Staphylococcus phage phiETA3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_008799
NC_009014	Erwinia amylovora phage Era103	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Erwinia	Erwinia amylovora	yes	no	FQ482084
NC_009015	Burkholderia phage BcepF1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia ambifaria	yes	no	NC_009015
NC_009016	Vibrio phage VP882	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_009016
NC_009231	Clostridium phage phiC2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Clostridium	Clostridium difficile	yes	no	NC_009231
NC_009232	Salmonella phage SETP3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella	yes	no	NC_009232
NC_009236	Burkholderia phage phiE12-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Burkholderia	Burkholderia pseudomallei	yes	no	NC_009236
NC_009237	Burkholderia phage phiE255	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Burkholderia	Burkholderia thailandensis	yes	no	NC_009237
NC_009447	Burkholderia phage BcepGomr	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Burkholderia	Burkholderia cepacia	yes	no	NC_009447
NC_009514	Enterobacteria phage cdtI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_009514
NC_009526	Staphylococcus phage 80alpha	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus aureus	yes	no	NC_007049
NC_009531	Synechococcus phage Syn5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unassigned Autographivirinae.	Synechococcus	Synechococcus	yes	no	NC_009531
NC_009540	Enterobacteria phage TLS	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	Escherichia	Escherichia coli	yes	no	NC_009540
NC_009541	Propionibacterium phage PA6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Propionibacterium	Propionibacterium acnes	yes	no	NC_009541
NC_009554	Lactobacillus phage LL-H	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus delbrueckii	yes	no	NC_009554
NC_009737	Bacillus virus 1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Bacillus	Bacillus	yes	no	NC_009737
NC_009760	Bacillus phage 0305phi8-36	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus thuringiensis	yes	no	NC_009760
NC_009803	Thermus phage P23-45	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Thermus	Thermus thermophilus	yes	no	NC_009803
NC_009810	Listeria phage A500	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	yes	no	NC_009810
NC_009811	Listeria phage A511	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus.	Listeria	Listeria monocytogenes	yes	no	NC_009811
NC_009812	Listeria phage B025	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	yes	no	NC_009812
NC_009813	Listeria phage B054	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	yes	no	NC_009813
NC_009815	Listeria phage A006	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria monocytogenes	yes	no	NC_009815
NC_009817	Lactococcus phage KSY1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_009817
NC_009818	Pseudomonas phage MP22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Pseudomonas	Pseudomonas aeruginosa	yes	no	JN808773
NC_009821	Enterobacteria phage Phi1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	NC_005066
NC_009877	Mycobacterium phage U2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3853
